goal,adherence_pct,avg_sleep,avg_soreness,workout_completion_pct,weight_change_kg,weeks_since_last_adjustment,label
bulk,60.8,8.7,4.5,96.6,-1.5,6,deload_week
maintain,90.9,8.1,1.4,67.1,-0.79,4,stay_course
cut,98.4,5.2,2.1,33.1,-0.81,5,deload_week
maintain,82.1,6.4,4.9,35.9,-1.21,2,deload_week
bulk,89.2,4.9,3.3,60.4,1.39,2,deload_week
maintain,55.7,6.1,4.2,79.1,0.71,3,deload_week
maintain,56.3,4.9,1.8,84.6,0.25,2,deload_week
cut,49.9,6.8,2.6,67.5,1.39,2,stay_course
maintain,58.5,5.8,1.5,41.0,0.56,6,stay_course
bulk,76.2,5.6,4.4,40.4,0.63,3,deload_week
maintain,70.8,7.9,2.0,99.3,-1.41,4,increase_intensity
maintain,73.4,7.3,1.4,37.1,0.88,1,reduce_calories
cut,43.7,8.4,1.9,43.9,-0.3,6,stay_course
bulk,96.3,4.9,3.3,94.2,-1.28,1,deload_week
cut,94.1,6.7,1.5,93.4,0.99,3,increase_intensity
cut,42.6,6.8,1.7,70.2,0.97,4,stay_course
maintain,41.8,7.9,1.7,45.0,-0.94,3,increase_calories
maintain,93.0,4.7,3.5,47.2,-0.61,4,deload_week
bulk,68.7,4.9,2.5,59.3,0.43,5,deload_week
cut,77.8,8.5,4.2,99.3,0.85,3,deload_week
maintain,72.7,6.9,4.7,65.2,-0.33,2,deload_week
cut,59.1,5.6,4.6,84.5,-1.32,4,deload_week
bulk,61.4,7.4,1.9,41.2,-0.76,2,stay_course
maintain,72.0,8.5,3.9,83.5,1.34,5,reduce_calories
maintain,61.3,8.7,4.4,42.3,0.28,6,deload_week
bulk,61.5,7.5,3.8,54.6,0.2,2,stay_course
bulk,96.9,8.7,4.2,97.9,0.13,2,deload_week
maintain,42.3,4.8,3.4,31.4,-0.07,3,deload_week
bulk,52.1,5.2,3.9,94.3,1.03,3,deload_week
cut,41.3,7.4,4.7,84.2,1.04,3,deload_week
cut,62.4,9.2,2.6,37.1,-0.59,2,stay_course
cut,83.9,6.7,3.6,64.1,-0.55,6,stay_course
bulk,81.6,9.1,4.1,45.6,0.27,2,stay_course
maintain,58.4,7.9,1.5,81.0,1.35,5,reduce_calories
maintain,91.0,8.4,3.3,42.7,-0.55,5,stay_course
cut,78.4,5.0,3.0,53.2,-1.27,3,deload_week
maintain,50.1,8.9,1.4,79.6,0.42,3,stay_course
maintain,40.7,5.5,3.8,54.5,0.86,6,reduce_calories
cut,42.9,6.7,2.7,41.6,-0.26,4,stay_course
maintain,72.8,5.0,2.9,90.5,0.45,6,deload_week
cut,49.8,4.9,4.4,50.6,-0.54,1,deload_week
cut,60.5,8.9,1.6,35.3,1.33,1,stay_course
maintain,75.6,7.6,2.9,32.2,1.33,2,reduce_calories
bulk,93.4,5.3,1.4,44.4,-0.93,6,deload_week
bulk,83.3,8.1,2.1,49.7,-0.79,1,stay_course
maintain,74.3,8.7,1.6,55.3,-0.22,3,stay_course
bulk,77.5,6.9,1.4,44.5,0.41,1,stay_course
maintain,90.6,6.0,2.6,64.2,0.48,1,stay_course
bulk,72.6,5.4,4.5,55.9,-0.16,3,deload_week
maintain,67.9,5.6,2.1,34.3,0.76,6,stay_course
cut,45.1,6.2,3.2,97.9,0.27,5,stay_course
cut,90.4,8.6,2.7,67.5,1.1,4,reduce_calories
bulk,92.9,6.9,1.3,93.2,0.64,5,increase_intensity
bulk,94.0,8.5,3.7,73.4,-1.14,4,increase_calories
cut,96.9,5.3,1.8,43.5,-1.37,1,deload_week
bulk,66.1,9.5,3.5,88.4,-0.73,6,stay_course
cut,45.2,7.3,3.2,90.0,0.06,1,stay_course
bulk,77.4,7.1,2.7,59.0,-1.06,5,increase_calories
bulk,85.5,9.2,4.7,69.4,-1.2,3,deload_week
bulk,92.8,8.9,2.1,75.8,0.22,4,increase_intensity
cut,50.3,6.5,3.5,77.7,-0.29,4,stay_course
maintain,81.4,4.7,2.9,48.8,-0.38,3,deload_week
maintain,58.7,8.7,4.4,77.9,1.42,2,deload_week
cut,58.0,8.2,4.1,52.5,0.69,5,stay_course
bulk,45.4,6.7,4.7,58.5,-0.05,5,deload_week
maintain,89.3,7.1,1.6,51.8,0.02,2,stay_course
bulk,92.8,4.6,1.8,88.3,1.01,2,deload_week
cut,67.4,9.1,3.8,49.2,0.97,5,stay_course
maintain,78.1,5.1,1.1,56.1,0.28,2,deload_week
maintain,75.2,6.2,1.7,92.6,0.75,6,increase_intensity
cut,57.1,6.4,1.7,70.1,1.39,2,stay_course
bulk,53.5,5.5,3.6,65.9,1.09,6,reduce_calories
cut,68.4,5.2,1.7,86.1,-0.83,5,deload_week
maintain,82.8,8.0,2.1,92.7,1.05,4,increase_intensity
maintain,53.1,6.0,3.1,73.7,0.25,1,stay_course
bulk,100.0,9.3,4.4,69.3,0.28,3,deload_week
maintain,81.1,6.9,2.3,49.4,-0.52,3,stay_course
maintain,79.4,9.3,3.6,43.2,0.05,2,stay_course
cut,88.3,8.5,3.4,76.2,0.54,6,reduce_calories
cut,79.3,9.5,2.0,59.3,-0.34,1,stay_course
bulk,82.5,7.4,1.8,80.9,-0.83,5,increase_intensity
bulk,87.1,9.0,3.7,65.5,1.04,6,reduce_calories
bulk,50.9,5.0,1.5,48.1,0.93,2,deload_week
bulk,94.0,7.8,1.9,45.6,1.11,4,reduce_calories
maintain,62.3,7.4,2.9,38.2,-1.34,6,increase_calories
bulk,74.8,7.6,2.9,43.6,-1.14,6,stay_course
maintain,71.8,6.6,4.5,40.6,1.48,3,deload_week
maintain,99.2,9.0,4.9,40.0,1.09,2,deload_week
cut,69.3,7.7,1.7,74.4,-1.49,3,increase_calories
cut,85.7,5.3,4.1,64.3,0.79,1,deload_week
cut,76.9,7.7,2.6,97.6,-0.35,1,increase_intensity
bulk,52.0,6.4,1.1,52.6,1.0,2,stay_course
cut,80.6,7.6,2.0,78.5,-0.47,2,increase_intensity
cut,63.0,7.4,1.7,87.7,-0.61,3,stay_course
maintain,83.7,7.5,2.4,92.2,1.49,3,increase_intensity
maintain,61.6,5.4,4.8,94.3,-0.29,2,deload_week
cut,83.6,5.2,3.9,71.3,-0.99,3,deload_week
bulk,79.0,4.7,4.5,47.9,0.1,1,deload_week
bulk,99.7,7.8,3.6,31.4,0.57,4,stay_course
maintain,62.8,7.2,2.9,40.7,0.59,6,stay_course
cut,58.1,7.8,3.6,48.9,0.32,2,stay_course
maintain,89.8,5.0,3.9,38.2,-1.16,1,deload_week
maintain,51.9,5.5,2.1,66.6,-0.89,6,increase_calories
maintain,57.7,4.7,3.0,44.5,1.3,3,deload_week
cut,40.2,7.9,4.6,88.5,0.51,2,deload_week
cut,86.8,4.9,3.9,93.3,0.43,4,deload_week
maintain,55.8,4.8,4.3,91.2,1.06,3,deload_week
bulk,58.8,8.2,1.4,83.1,-1.36,2,stay_course
bulk,78.8,6.1,4.6,96.9,-0.7,6,deload_week
cut,62.4,6.2,1.5,58.0,-0.13,4,stay_course
bulk,91.0,8.5,3.6,85.8,-1.16,6,increase_calories
bulk,43.5,9.2,1.6,59.1,0.27,5,stay_course
bulk,66.3,7.6,4.1,72.8,1.09,6,reduce_calories
cut,69.0,6.9,4.6,60.8,-1.31,6,deload_week
maintain,40.7,8.8,3.1,82.1,0.67,2,stay_course
bulk,92.4,7.1,3.8,73.3,-0.2,6,increase_calories
cut,68.9,7.8,3.6,40.4,0.98,5,stay_course
cut,40.7,9.2,3.0,62.9,-0.01,2,stay_course
cut,85.1,6.1,2.3,49.5,0.02,5,reduce_calories
bulk,62.7,8.6,1.3,61.1,0.22,1,stay_course
maintain,66.8,5.1,3.0,75.7,-1.19,4,deload_week
cut,73.4,4.5,1.4,72.3,0.36,3,deload_week
bulk,73.7,7.8,2.8,53.9,0.98,2,stay_course
maintain,59.9,8.3,3.4,80.2,-0.41,4,stay_course
cut,45.8,7.8,1.0,54.9,0.4,3,stay_course
bulk,71.3,8.0,1.2,41.5,-1.08,6,stay_course
bulk,83.3,5.0,3.4,43.1,1.29,4,deload_week
cut,67.4,8.4,3.9,37.5,-0.26,6,stay_course
bulk,75.3,8.4,2.8,76.1,1.37,2,increase_intensity
maintain,40.3,8.2,3.2,60.3,0.26,5,stay_course
cut,81.5,5.4,4.3,37.2,0.47,5,deload_week
maintain,70.2,6.4,4.9,94.1,0.79,3,deload_week
maintain,97.8,9.4,2.8,39.3,-0.26,6,stay_course
bulk,70.7,8.7,3.2,52.0,0.71,5,stay_course
bulk,53.0,5.5,3.9,78.1,1.26,2,reduce_calories
bulk,79.0,9.3,3.0,78.6,-0.53,1,increase_intensity
maintain,73.7,7.4,4.8,79.7,0.52,5,deload_week
maintain,92.6,6.6,1.1,37.5,-0.36,1,stay_course
bulk,43.4,5.8,4.1,98.8,0.55,2,stay_course
cut,81.4,6.0,4.0,32.3,0.94,1,stay_course
bulk,92.1,8.2,4.5,82.0,0.18,2,deload_week
bulk,87.1,8.5,2.2,76.5,1.28,4,increase_intensity
maintain,97.4,9.4,2.3,68.6,-1.46,3,increase_calories
cut,77.2,8.4,4.5,88.1,1.23,6,deload_week
bulk,78.9,8.3,3.2,72.2,0.83,2,stay_course
maintain,66.9,9.4,1.3,97.4,0.71,1,stay_course
maintain,42.4,5.9,2.1,41.3,1.04,1,reduce_calories
maintain,68.0,9.2,1.2,95.0,0.29,6,stay_course
bulk,90.6,6.0,4.2,68.5,-1.28,6,deload_week
maintain,71.5,9.3,3.1,85.0,-1.02,5,increase_calories
bulk,64.2,6.2,4.5,76.4,-0.51,3,deload_week
cut,97.0,7.6,2.9,69.3,0.76,6,reduce_calories
cut,46.9,6.2,2.0,75.0,1.26,2,stay_course
cut,81.0,6.1,4.7,96.1,-0.34,5,deload_week
bulk,57.0,9.1,4.3,56.2,0.91,4,deload_week
maintain,42.6,9.0,1.8,66.0,1.34,2,reduce_calories
bulk,72.0,7.6,1.8,74.1,-0.86,6,increase_intensity
maintain,90.1,5.5,4.3,91.5,0.72,4,deload_week
bulk,89.0,4.9,3.7,31.7,0.65,1,deload_week
cut,44.4,5.4,2.0,34.9,0.96,3,deload_week
maintain,63.3,7.7,2.7,31.2,0.52,5,stay_course
cut,78.5,7.6,4.0,71.0,0.6,1,stay_course
maintain,95.7,5.0,4.1,51.1,-1.24,4,deload_week
maintain,63.7,7.8,2.9,67.3,-1.09,4,increase_calories
bulk,57.7,7.7,2.2,92.1,1.4,6,reduce_calories
bulk,62.4,9.2,3.2,68.9,-1.13,1,stay_course
bulk,75.8,7.2,4.8,51.3,0.74,6,deload_week
maintain,52.7,9.0,4.4,40.0,-0.95,5,deload_week
maintain,51.7,5.4,4.2,89.7,1.05,5,deload_week
maintain,78.7,4.9,3.7,47.5,-0.91,5,deload_week
maintain,97.1,6.3,3.7,46.4,-0.64,1,stay_course
cut,59.1,6.8,3.5,51.4,0.25,5,stay_course
bulk,61.9,6.1,2.7,30.3,-0.76,2,stay_course
bulk,84.4,6.7,4.4,39.4,0.7,4,deload_week
maintain,66.7,8.4,2.9,37.6,0.44,1,stay_course
maintain,91.5,5.2,3.2,48.4,1.16,1,deload_week
bulk,44.5,4.6,3.0,32.2,0.25,4,deload_week
bulk,52.8,4.7,2.0,92.6,0.12,6,deload_week
cut,61.9,5.6,4.1,81.3,-0.63,4,stay_course
bulk,70.6,6.5,3.0,76.4,1.04,5,increase_intensity
bulk,50.0,7.1,2.8,42.5,1.35,6,reduce_calories
cut,84.2,6.9,2.4,45.3,-0.04,1,stay_course
maintain,62.2,4.7,1.8,93.5,-0.42,4,deload_week
maintain,92.9,4.7,3.6,37.2,1.41,6,deload_week
maintain,90.1,5.8,3.2,42.2,0.46,3,stay_course
bulk,79.2,8.7,3.1,56.3,1.22,5,reduce_calories
maintain,61.2,8.8,2.9,63.7,0.31,5,stay_course
cut,66.4,5.6,3.1,49.7,-1.05,2,stay_course
maintain,76.1,8.6,3.6,59.0,-0.51,1,stay_course
maintain,80.5,6.9,3.4,75.3,-0.27,2,stay_course
cut,47.7,7.5,1.5,65.9,1.17,2,stay_course
cut,50.0,9.1,3.1,58.4,1.41,6,stay_course
cut,92.7,8.1,4.3,96.3,-0.85,5,deload_week
maintain,92.0,5.4,4.3,72.1,0.88,2,deload_week
bulk,79.6,5.8,3.9,54.0,-0.14,5,increase_calories
cut,53.8,6.4,1.4,44.2,1.08,5,stay_course
bulk,65.2,5.2,1.4,63.3,0.34,1,deload_week
bulk,70.2,5.1,2.9,39.1,0.31,1,deload_week
bulk,79.0,7.1,2.5,33.0,0.09,2,increase_calories
maintain,87.4,6.4,3.4,81.9,0.78,6,stay_course
bulk,45.9,5.2,2.9,46.3,1.08,3,deload_week
bulk,92.6,6.5,1.8,79.6,0.87,5,increase_intensity
bulk,47.1,4.5,3.6,78.1,-0.55,3,deload_week
cut,49.3,7.8,2.0,89.8,-0.23,3,stay_course
bulk,56.5,7.9,4.0,58.9,0.85,4,stay_course
cut,62.2,7.3,2.0,51.5,-0.47,6,stay_course
maintain,84.1,8.8,3.6,82.3,-0.16,6,stay_course
cut,46.0,7.0,4.1,86.1,0.34,6,stay_course
bulk,43.1,6.4,3.5,86.3,0.97,4,stay_course
bulk,66.1,4.8,1.9,35.6,-1.39,4,deload_week
maintain,76.8,7.1,3.8,71.8,1.34,2,reduce_calories
bulk,69.7,4.6,4.4,95.2,0.05,2,deload_week
cut,87.0,7.1,3.8,73.1,0.52,3,reduce_calories
cut,79.3,9.4,1.3,49.3,-0.3,6,stay_course
maintain,64.3,5.5,1.1,79.3,1.26,5,reduce_calories
maintain,83.6,7.3,3.3,54.3,0.95,2,reduce_calories
bulk,97.8,6.8,2.6,30.3,-0.97,5,increase_calories
cut,73.5,7.0,2.4,38.2,0.04,3,stay_course
bulk,88.8,7.4,3.8,97.6,0.19,2,stay_course
maintain,97.7,6.8,2.8,71.1,-1.42,1,increase_intensity
maintain,44.1,7.7,5.0,77.4,-0.81,3,deload_week
maintain,97.3,7.1,1.0,88.3,-0.76,1,increase_intensity
maintain,80.4,8.6,1.3,95.2,-0.07,3,increase_intensity
cut,93.7,5.8,4.8,77.8,1.23,4,deload_week
bulk,52.0,8.2,4.5,44.5,-0.89,2,deload_week
bulk,61.4,8.4,1.5,35.5,1.37,4,reduce_calories
bulk,40.4,8.8,4.8,89.4,-0.39,3,deload_week
maintain,93.9,8.9,3.3,49.2,-0.95,5,increase_calories
maintain,63.9,8.3,1.5,66.8,-0.23,5,stay_course
cut,70.1,6.5,3.7,42.2,1.43,6,stay_course
bulk,67.6,7.9,1.0,44.8,0.24,3,stay_course
maintain,76.8,5.8,3.2,46.6,-0.09,5,stay_course
maintain,62.0,7.0,1.8,79.0,-0.38,4,stay_course
maintain,67.0,7.4,4.9,78.0,0.94,6,deload_week
maintain,88.2,7.3,4.4,43.7,0.9,6,deload_week
cut,68.4,4.5,2.7,39.4,1.18,6,deload_week
bulk,72.0,6.1,2.9,47.6,1.08,1,reduce_calories
maintain,45.9,5.3,1.9,47.8,1.02,1,deload_week
maintain,84.7,5.8,2.4,69.0,0.93,3,reduce_calories
cut,64.7,6.3,3.7,72.4,0.23,6,stay_course
bulk,72.3,9.4,2.1,52.8,0.03,6,stay_course
maintain,93.4,6.4,2.1,74.2,-1.07,2,increase_intensity
bulk,88.5,6.2,3.5,70.0,1.05,1,reduce_calories
cut,49.7,5.6,2.3,50.4,-0.7,6,stay_course
maintain,56.3,6.7,4.5,55.4,0.26,4,deload_week
maintain,50.0,8.8,1.5,46.4,-0.75,6,stay_course
bulk,85.0,5.6,2.6,36.7,1.31,4,reduce_calories
bulk,43.2,8.4,3.1,99.7,-1.19,5,stay_course
cut,45.1,9.2,2.6,46.1,0.71,4,stay_course
bulk,47.6,7.1,1.7,32.5,-0.43,3,stay_course
maintain,68.0,8.9,4.7,68.4,-1.09,6,deload_week
bulk,50.6,7.5,3.5,74.5,0.19,5,stay_course
bulk,78.4,6.0,2.4,67.8,0.91,4,stay_course
maintain,61.9,5.8,2.2,30.0,0.95,2,reduce_calories
maintain,57.2,7.2,3.8,64.4,0.77,3,stay_course
cut,86.0,8.5,3.4,85.8,0.14,2,reduce_calories
maintain,92.9,6.7,2.0,80.0,0.44,4,increase_intensity
cut,55.8,6.6,2.0,83.5,1.23,6,stay_course
bulk,56.3,7.7,3.1,48.8,-0.94,1,stay_course
cut,48.2,5.1,2.8,61.7,0.6,4,deload_week
cut,59.2,5.3,4.9,31.5,1.42,3,deload_week
maintain,47.5,6.7,1.0,36.3,-1.46,2,increase_calories
maintain,65.2,8.4,3.0,56.0,0.59,1,stay_course
maintain,44.8,8.3,1.6,48.7,-0.32,5,stay_course
maintain,50.9,9.0,2.0,56.7,-1.46,6,increase_calories
cut,63.1,9.4,2.0,99.6,-0.9,6,stay_course
cut,71.3,9.4,2.9,77.7,-0.56,3,increase_intensity
cut,77.7,4.7,4.7,66.5,-0.74,6,deload_week
maintain,51.9,8.9,4.5,45.2,-1.16,6,deload_week
maintain,59.5,5.3,2.1,38.4,0.87,1,deload_week
cut,74.9,8.0,3.8,40.8,0.81,2,stay_course
cut,70.0,7.9,2.4,97.9,0.78,1,stay_course
cut,61.3,5.3,3.1,37.5,-0.04,3,deload_week
bulk,87.3,8.3,4.2,60.7,-0.92,6,deload_week
maintain,61.5,5.2,4.6,64.0,-0.19,3,deload_week
bulk,81.8,5.4,1.7,54.3,0.7,3,deload_week
bulk,94.9,7.3,1.3,40.9,-0.61,3,increase_calories
bulk,62.0,4.5,3.6,56.5,-0.94,1,deload_week
bulk,91.4,8.4,2.0,80.5,0.47,5,increase_intensity
maintain,51.4,7.9,4.1,40.8,-0.65,4,stay_course
bulk,59.3,5.0,3.6,33.1,1.31,2,deload_week
cut,52.1,6.9,1.4,70.0,1.01,6,stay_course
maintain,71.5,8.0,2.0,55.6,0.32,1,stay_course
cut,95.8,5.5,3.0,92.3,-1.26,6,increase_intensity
cut,61.7,8.2,4.6,87.5,0.88,1,deload_week
bulk,55.9,4.7,1.3,51.3,1.33,5,deload_week
cut,46.1,5.7,2.5,43.5,0.47,5,stay_course
bulk,96.9,7.3,3.2,82.2,0.8,5,stay_course
maintain,80.5,8.0,2.7,37.3,0.88,5,reduce_calories
maintain,70.3,7.8,3.1,72.0,1.3,3,reduce_calories
bulk,99.5,6.1,2.5,83.5,-0.21,6,increase_intensity
maintain,76.5,7.3,1.9,83.6,1.28,3,increase_intensity
maintain,97.7,6.7,2.6,80.8,1.45,5,increase_intensity
cut,71.1,9.5,2.2,51.0,-0.83,3,stay_course
cut,86.3,9.2,4.3,94.3,0.03,5,deload_week
bulk,49.3,4.7,2.4,39.7,-0.4,5,deload_week
cut,54.0,8.6,1.4,58.0,1.25,6,stay_course
cut,83.4,8.5,1.7,87.8,0.57,5,increase_intensity
cut,75.7,6.0,3.9,70.3,-1.26,1,increase_calories
maintain,60.9,8.6,2.7,90.7,1.11,2,reduce_calories
bulk,79.2,7.5,1.0,84.4,-0.35,3,increase_intensity
bulk,42.5,7.2,1.6,65.2,-0.84,1,stay_course
bulk,83.9,6.5,2.8,71.7,0.01,2,increase_intensity
maintain,57.4,6.5,1.5,35.8,0.21,1,stay_course
bulk,64.0,4.9,3.0,84.2,-1.11,2,deload_week
maintain,73.6,6.9,3.6,43.7,0.35,6,stay_course
bulk,54.8,4.9,4.1,52.6,1.27,1,deload_week
cut,80.3,6.6,2.4,52.5,0.28,1,stay_course
maintain,50.2,6.2,4.3,86.2,0.37,4,deload_week
cut,95.5,5.7,3.7,40.9,0.69,1,stay_course
cut,84.4,5.7,3.5,40.3,1.0,3,reduce_calories
cut,60.6,8.5,2.2,63.0,-0.5,6,stay_course
bulk,52.7,7.2,4.0,68.4,0.37,2,stay_course
bulk,81.9,4.6,3.3,76.4,-1.37,2,deload_week
cut,57.0,8.4,3.5,33.7,0.46,1,stay_course
cut,63.3,5.9,4.4,76.2,1.09,1,deload_week
maintain,92.0,7.7,1.9,56.6,1.43,1,reduce_calories
maintain,69.1,7.5,1.4,43.9,1.4,5,reduce_calories
bulk,41.3,5.7,3.1,53.3,-0.32,2,stay_course
cut,60.8,6.3,3.5,46.5,1.43,5,stay_course
maintain,88.7,7.6,4.5,92.3,0.94,1,deload_week
bulk,96.9,5.6,2.4,57.5,-1.09,6,increase_calories
maintain,71.2,7.9,4.5,78.1,-0.25,5,deload_week
cut,65.6,6.1,3.4,61.4,-1.1,6,stay_course
cut,74.9,7.9,1.8,39.7,0.57,5,stay_course
cut,65.8,9.0,4.1,75.9,0.19,2,stay_course
maintain,44.1,7.2,3.9,42.9,1.02,2,reduce_calories
bulk,41.8,6.1,4.9,97.3,-0.59,6,deload_week
bulk,96.0,5.9,4.1,37.5,-0.95,5,increase_calories
bulk,56.0,7.3,1.9,46.3,0.56,3,stay_course
cut,81.3,6.9,3.0,72.3,0.64,3,increase_intensity
cut,91.1,7.0,1.6,43.5,-1.4,1,increase_calories
maintain,97.0,5.6,3.7,44.2,-0.89,2,increase_calories
maintain,92.0,6.9,2.3,62.0,-0.76,4,stay_course
cut,76.5,8.6,3.9,57.6,1.32,5,reduce_calories
bulk,72.2,7.7,3.8,32.7,-1.17,4,stay_course
cut,92.7,5.7,3.2,98.9,-1.38,4,increase_calories
bulk,85.9,9.3,1.8,60.8,1.15,3,reduce_calories
maintain,50.0,6.0,4.7,78.3,1.21,4,deload_week
bulk,67.1,8.1,1.5,84.5,1.31,6,reduce_calories
bulk,48.1,6.6,2.8,42.5,0.27,6,stay_course
cut,93.0,5.0,2.3,75.4,0.63,2,deload_week
bulk,84.0,5.0,3.8,74.4,-1.24,6,deload_week
maintain,83.6,9.4,3.4,41.2,0.15,1,stay_course
cut,94.7,7.3,3.6,40.5,1.11,2,reduce_calories
bulk,43.1,6.0,3.9,97.3,-0.63,2,stay_course
cut,93.9,9.3,1.0,83.6,-1.46,4,increase_intensity
maintain,72.6,4.5,4.5,46.7,0.27,4,deload_week
maintain,64.6,4.9,3.4,47.1,0.14,5,deload_week
bulk,73.5,8.6,1.2,40.4,0.46,1,stay_course
cut,91.2,7.8,4.4,50.9,1.26,1,deload_week
cut,65.0,5.4,3.7,72.8,0.57,5,deload_week
bulk,87.2,5.4,2.8,70.5,1.29,1,deload_week
maintain,59.4,9.0,4.3,83.1,1.03,1,deload_week
maintain,68.2,5.1,4.4,53.0,-0.26,2,deload_week
bulk,52.5,4.8,3.3,98.6,0.09,1,deload_week
maintain,83.4,7.5,4.2,79.5,-0.22,3,deload_week
maintain,71.5,9.5,2.4,39.1,0.19,5,stay_course
bulk,77.9,7.0,1.7,72.7,0.63,2,increase_intensity
cut,47.1,6.8,4.2,81.6,-0.88,5,deload_week
maintain,64.8,6.2,3.2,74.6,-1.47,2,increase_calories
bulk,56.9,8.5,2.2,65.5,-0.53,1,stay_course
cut,81.2,6.2,3.9,73.1,-1.41,2,increase_calories
cut,59.8,6.2,3.7,94.1,0.89,6,stay_course
cut,68.9,7.6,4.6,67.6,-0.49,4,deload_week
bulk,43.4,7.1,3.3,77.5,0.17,1,stay_course
cut,74.6,6.2,4.7,85.7,-1.3,2,deload_week
maintain,90.4,6.2,2.5,67.4,-1.0,5,increase_calories
maintain,51.2,5.1,4.1,51.6,1.07,6,deload_week
cut,56.3,4.9,4.5,56.0,0.99,3,deload_week
cut,71.5,5.4,2.5,32.6,-0.89,1,deload_week
maintain,70.4,8.5,4.6,40.8,-0.48,4,deload_week
bulk,92.4,6.1,2.3,83.9,-1.21,5,increase_intensity
bulk,99.6,5.5,1.1,57.1,1.09,1,reduce_calories
cut,58.7,4.7,4.4,91.0,-0.5,1,deload_week
cut,71.2,7.8,2.2,70.4,-0.56,2,increase_intensity
maintain,52.0,5.9,3.1,84.1,0.51,3,stay_course
cut,49.4,5.1,4.8,69.2,-1.19,5,deload_week
maintain,73.0,5.9,4.8,86.3,0.22,2,deload_week
cut,58.7,9.0,3.2,33.6,-1.41,6,increase_calories
cut,46.4,4.8,2.7,42.5,0.29,5,deload_week
bulk,90.2,8.0,3.5,51.9,0.95,6,stay_course
bulk,88.6,4.9,4.7,83.5,0.2,1,deload_week
bulk,68.1,6.8,3.7,79.7,-0.1,2,stay_course
cut,48.6,9.0,2.0,55.4,-0.95,6,stay_course
maintain,87.3,8.9,2.8,32.1,-0.07,3,stay_course
maintain,67.7,5.4,4.1,72.3,-1.12,1,deload_week
maintain,89.1,8.5,2.3,75.5,0.88,5,increase_intensity
maintain,64.0,6.6,3.5,68.4,1.42,4,reduce_calories
cut,60.4,8.6,3.4,84.9,-0.19,3,stay_course
bulk,81.6,5.4,3.7,81.8,0.64,4,deload_week
cut,75.5,6.8,3.2,87.5,-0.97,4,stay_course
cut,75.9,7.9,3.4,87.4,-0.52,6,stay_course
bulk,43.7,5.6,1.6,70.7,0.76,1,stay_course
cut,79.7,6.8,2.2,73.1,-0.16,2,increase_intensity
bulk,92.6,6.0,4.2,77.6,1.26,4,deload_week
bulk,99.0,6.2,1.4,30.6,1.46,4,reduce_calories
cut,91.2,4.8,4.6,97.8,-1.5,5,deload_week
maintain,46.6,5.9,1.1,60.2,0.27,6,stay_course
maintain,82.7,6.5,2.7,44.8,-0.98,2,increase_calories
cut,73.3,8.7,2.4,59.2,-0.63,6,stay_course
cut,48.1,4.9,1.1,80.5,-0.04,4,deload_week
cut,45.1,7.7,2.7,61.9,0.87,5,stay_course
maintain,77.4,6.8,2.7,87.4,-0.35,2,increase_intensity
cut,65.5,4.5,3.0,81.2,0.64,3,deload_week
maintain,95.6,7.4,1.1,32.7,-0.05,3,stay_course
cut,74.8,9.3,1.3,81.1,0.08,3,increase_intensity
maintain,71.0,7.1,3.4,47.2,0.39,6,stay_course
bulk,44.7,7.7,4.2,51.9,-1.34,3,deload_week
bulk,86.7,6.8,3.1,62.8,0.7,4,stay_course
maintain,97.6,8.5,2.2,32.5,1.27,6,reduce_calories
maintain,83.6,7.3,1.2,63.1,-0.99,1,increase_calories
bulk,99.4,8.5,3.5,50.1,-1.25,5,increase_calories
cut,91.1,5.9,1.5,49.7,1.07,1,stay_course
bulk,46.7,5.4,3.4,40.6,-0.16,2,deload_week
maintain,87.0,5.7,1.7,66.9,-1.4,1,increase_calories
cut,75.7,8.6,4.4,82.7,-0.26,4,deload_week
cut,79.6,8.1,1.7,70.4,1.03,1,increase_intensity
bulk,55.9,8.6,1.2,62.5,-0.07,4,stay_course
bulk,96.9,9.1,1.9,77.8,-0.33,3,increase_intensity
cut,71.8,6.7,2.2,85.8,-0.35,3,increase_intensity
bulk,81.0,4.7,4.7,74.6,1.37,4,deload_week
bulk,95.1,8.8,2.3,48.7,-1.21,6,increase_calories
bulk,63.5,8.4,4.0,81.4,0.27,2,stay_course
bulk,60.2,8.0,1.7,68.3,0.52,1,stay_course
cut,64.7,7.1,3.7,54.6,0.68,3,stay_course
cut,42.0,7.6,1.2,71.6,1.18,2,stay_course
bulk,78.3,8.0,1.5,90.0,-1.11,6,increase_intensity
bulk,74.0,9.3,4.6,78.7,-0.74,4,deload_week
bulk,96.2,7.7,4.7,49.3,-0.22,6,deload_week
maintain,55.4,8.4,2.1,34.4,-0.33,1,stay_course
maintain,97.3,5.8,2.8,64.4,1.29,5,reduce_calories
maintain,50.7,7.0,1.6,83.8,-0.84,6,increase_calories
cut,94.8,8.1,1.4,35.1,0.21,3,reduce_calories
maintain,41.1,7.0,3.6,30.1,-1.39,4,increase_calories
maintain,49.1,6.1,2.6,30.3,0.62,4,stay_course
maintain,66.2,8.7,4.1,85.0,0.12,1,stay_course
maintain,97.2,8.6,2.9,69.7,1.31,3,reduce_calories
maintain,80.9,6.5,3.5,97.1,-1.23,5,increase_calories
maintain,44.8,6.8,4.1,75.3,-0.97,1,increase_calories
maintain,79.6,6.0,2.6,37.5,0.57,4,stay_course
